Customer_ID,Age,Annual_Income_k$,Spending_Score,Work_Experience,Profession
135,57,113,95,37,Business
136,39,64,52,33,Artist
137,44,27,83,17,Engineer
138,52,74,16,29,Other
139,18,149,69,14,Student
140,52,71,99,26,Other
141,54,50,12,33,Business
142,64,34,25,37,Artist
143,31,79,52,32,Student
144,20,22,85,23,Artist
145,18,129,53,14,Business
146,22,106,23,29,Other
147,43,112,16,16,Other
148,31,80,57,4,Teacher
149,56,46,39,28,Artist
150,44,100,53,3,Other
151,26,65,42,9,Engineer
152,32,77,58,16,Doctor
153,32,139,39,9,Doctor
154,43,72,14,16,Teacher
155,59,72,95,19,Artist
156,30,100,5,23,Student
157,68,63,35,4,Artist
158,49,84,87,33,Artist
159,56,29,93,5,Artist
160,66,68,75,1,Student
161,69,115,18,12,Student
162,49,22,76,10,Artist
163,21,67,9,22,Engineer
164,47,74,74,15,Artist
165,54,122,58,30,Doctor
166,40,19,17,10,Doctor
167,56,117,7,15,Engineer
168,62,20,46,7,Business
169,32,123,13,3,Engineer
170,60,130,40,39,Student
171,46,108,42,3,Student
172,53,61,9,24,Student
173,30,113,50,2,Doctor
174,49,69,27,31,Business
175,24,66,66,2,Engineer
176,68,27,5,26,Engineer
177,39,128,29,28,Doctor
178,45,138,37,31,Student
179,19,120,38,18,Business
180,59,134,83,20,Teacher
181,62,77,8,4,Other
182,23,33,65,17,Business
183,45,106,86,27,Engineer
184,45,72,17,21,Artist
185,61,104,71,20,Other
186,61,131,89,5,Business
187,37,76,45,0,Other
188,47,37,4,4,Other
189,28,141,36,11,Teacher
190,45,143,70,25,Teacher
191,42,72,31,33,Other
192,56,136,19,13,Business
193,50,15,61,25,Doctor
194,18,48,54,26,Teacher
195,44,110,39,8,Artist
196,69,140,91,25,Artist
197,30,132,74,21,Student
198,58,62,90,29,Teacher
199,20,103,19,16,Student
200,56,131,39,25,Student
